T_report,terminal_rule,cutoff_t,cutoff_model_t,comparison,reference_T_report,endpoint_guard,max_log_phi_US_gap,max_log_q_US_gap,max_leakage_gap,max_rebased_nfa_gap,prefix_product_log_gap,stability_tolerance,prefix_product_stable,prefix_paths_stable,prefix_stable
105,local_loglinear,103,102,vs_selected,105,2,0.0,0.0,0.0,0.0,0.0,0.0001,true,true,true
105,local_loglinear,103,102,vs_selected_no_partner_available,105,2,0.0,0.0,0.0,0.0,0.0,0.0001,true,true,true
