T_report,n_buffer,t,log_q_diff,abs_log_q_diff,log_phi_diff,abs_log_phi_diff,log_dividend_yield_diff,abs_log_dividend_yield_diff,phi_LL,phi_asym,q_LL,q_asym
45,5,1,-2.584634355706772e-6,2.584634355706772e-6,1.4901886319917956e-6,1.4901886319917956e-6,1.4901886320473068e-6,1.4901886320473068e-6,0.6531099433676114,0.6531089701113235,0.8815627703309759,0.8815650488513433
45,5,2,-3.651095642570601e-6,3.651095642570601e-6,2.0821934540449227e-6,2.0821934540449227e-6,2.082193454100434e-6,2.082193454100434e-6,0.6535583162331211,0.6535569553996899,0.8882727341781219,0.8882759773527517
45,5,3,-5.146203707687147e-6,5.146203707687147e-6,2.9101518110308255e-6,2.9101518110308255e-6,2.9101518110863367e-6,2.9101518110863367e-6,0.6533590710760675,0.6533571697047502,0.8963421441111566,0.8963467568822912
45,5,4,-7.230170563005123e-6,7.230170563005123e-6,4.061199914806579e-6,4.061199914806579e-6,4.061199915028624e-6,4.061199915028624e-6,0.652539155902367,0.6525365058157839,0.9057822981253784,0.9057888471095619
45,5,5,-1.0116730292331066e-5,1.0116730292331066e-5,5.651239456283541e-6,5.651239456283541e-6,5.651239455950474e-6,5.651239455950474e-6,0.6511208114848922,0.6511171318556688,0.916620970207799,0.9166302434618423
45,5,6,-1.4090920690851272e-5,1.4090920690851272e-5,7.834454220867482e-6,7.834454220867482e-6,7.834454220922993e-6,7.834454220922993e-6,0.6491219310433686,0.6491168455472371,0.9289026381657384,0.9289157273513614
45,5,7,-1.9532125741412998e-5,1.9532125741412998e-5,1.0815606517111664e-5,1.0815606517111664e-5,1.0815606517056153e-5,1.0815606517056153e-5,0.6465565062177743,0.646549513354828,0.9426887911689039,0.942707204064729
45,5,8,-2.693737310718869e-5,2.693737310718869e-5,1.4862253146119553e-5,1.4862253146119553e-5,1.4862253146397109e-5,1.4862253146397109e-5,0.6434351310821035,0.643425568257365,0.9580583609144432,0.9580841688375669
45,5,9,-3.695483470735755e-5,3.695483470735755e-5,2.0322491401547627e-5,2.0322491401547627e-5,2.032249140127007e-5,2.032249140127007e-5,0.6397655526997675,0.6397525512019356,0.9751082849070253,0.9751443205383571
45,5,10,-5.042477203756092e-5,5.042477203756092e-5,2.7646577814122164e-5,2.7646577814122164e-5,2.7646577814177675e-5,2.7646577814177675e-5,0.6355532790309484,0.6355357084006497,0.9939541510097,0.9940042721848442
45,5,11,-6.842295513532007e-5,6.842295513532007e-5,3.7409602739513215e-5,3.7409602739513215e-5,3.740960273912464e-5,3.740960273912464e-5,0.6308022467636539,0.6307786491435868,1.014730882825393,1.0148003160864503
45,5,12,-9.231712490075095e-5,9.231712490075095e-5,5.034111799617769e-5,5.034111799617769e-5,5.034111799595564e-5,5.034111799595564e-5,0.625515528678866,0.6254840403204145,1.037593478866664,1.037689270935005
45,5,13,-0.0001238290529237268,0.0001238290529237268,6.735748123137819e-5,6.735748123137819e-5,6.735748123132268e-5,6.735748123132268e-5,0.619696043796778,0.6196543040378971,1.0627178663311616,1.0628494698260744
