T_report,n_buffer,terminal_rule,solved_t,is_reported_period,periods_to_extended_end,e_W_over_e_US,Q_W_over_Q_US,omega_US,theta_US,theta_US_star,phi_US,phi_W,q_US,q_W,residual_norm
45,5,local_loglinear,43,true,7,0.024559275026048464,0.1505915007851694,0.8792217869177179,-0.002779956678759111,0.11263339467672188,0.2961813803456999,0.23571071970992208,5.1682521734254045,0.5640825574552624,7.121744764670508e-6
45,5,local_loglinear,44,true,6,0.021870579517182822,0.1386020083245529,0.8872957224337539,-0.00231864871535668,0.10549195802320263,0.2856587459028755,0.22691910445705815,5.571575760485039,0.5539934194740359,7.804551759455947e-6
45,5,local_loglinear,45,true,5,0.0194584197593218,0.12736626708281593,0.8950707628134554,-0.0019333082125138816,0.0988640086694128,0.2754184046971875,0.21833679369639722,6.01021888628505,0.5437417897297697,8.51231349644807e-6
45,5,local_loglinear,46,false,4,0.017298448886572067,0.116873200267879,0.9025203914476686,-0.0016118514466463812,0.09271767628161316,0.2654647287585232,0.20995310149454785,6.48714994409822,0.5333754501520201,9.242542425248846e-6
45,5,local_loglinear,47,false,3,0.01536782476141406,0.10710629232928202,0.9096233532353237,-0.0013439947939500353,0.08702216319734833,0.25579991697441096,0.20175584354183312,7.0056007486301235,0.5229468828252972,9.99264788054903e-6
45,5,local_loglinear,48,false,2,0.013645222091048162,0.09804437545123623,0.9163636983760679,-0.0011210163171441248,0.08174778863786185,0.24642427045678086,0.19373155091299119,7.569093951428786,0.5125125594925722,1.0759967655491115e-5
45,5,local_loglinear,49,false,1,0.01211082283063157,0.08966240667467583,0.9227306735504698,-0.0009355424558083671,0.07686604539848096,0.23733646344678902,0.1858657068355369,8.181473131160464,0.5021321594399687,1.1541798855597375e-5
45,5,local_loglinear,50,false,0,0.010746288151702393,0.08193222111521435,0.928717989666888,-0.0007815060175734603,0.0723633281487165,0.22853380285347577,0.17814300018551094,8.84693570901805,0.4918677619704972,0.0006661579580699191
45,5,hkt_scalar_terminal_us,43,true,7,0.022871296251748212,0.11677715340799735,0.9041165735514752,-0.002556753906404837,0.11123535285648337,0.2911906227857596,0.26931105981220205,5.3404270759264945,0.4733278872333208,3.462891568924259e-8
45,5,hkt_scalar_terminal_us,44,true,6,0.02005985740706793,0.10274232947097843,0.9143094150276201,-0.0020903877629723203,0.10369162983019485,0.28047411541665024,0.2664692750954689,5.772150595437463,0.4490070563946423,3.753939176919968e-8
45,5,hkt_scalar_terminal_us,45,true,5,0.01752720597957224,0.0895613991132529,0.9241737640050841,-0.0017024835617681674,0.09665290790204513,0.270068144480333,0.26489895918986955,6.242544225772351,0.42291879421110223,4.0478533524936726e-8
45,5,hkt_scalar_terminal_us,46,false,4,0.015251038288675736,0.07724781601199207,0.9336512337582408,-0.001380880478761621,0.0900951404605557,0.2599793313453792,0.264829949413994,6.754728216897777,0.39503514390619804,4.342986243426481e-8
45,5,hkt_scalar_terminal_us,47,false,3,0.013210735092358726,0.06580838780826405,0.9426878775779854,-0.001115196730550836,0.0839980475650346,0.25021152691369264,0.2665761815136078,7.312053299450159,0.36534239062267126,4.638052979998272e-8
45,5,hkt_scalar_terminal_us,48,false,2,0.011387363258776512,0.055243845581790664,0.9512347977743978,-0.0008966135410278486,0.07834780008831725,0.24076608473662336,0.27058123972396664,7.918121295740901,0.33384099924588784,4.9326562142400765e-8
45,5,hkt_scalar_terminal_us,49,false,1,0.009763675640187429,0.0455496046188842,0.9592484622971212,-0.00071769981756485,0.07314323769949158,0.23164216222619788,0.27749666435986314,8.576807131928115,0.30054535046493314,5.2286859342340054e-8
45,5,hkt_scalar_terminal_us,50,false,0,0.008324131714804714,0.036716778623440326,0.9667200402016854,-0.0005672240353166637,0.06780478912101282,0.2228370446926477,0.2883248810315848,9.292281112909043,0.26548365604511115,4.9919646448585025e-6
