T_report,n_buffer,terminal_rule,t,periods_to_terminal,terminal_contaminated,terminal_anchor_weight,terminal_anchor_fraction_of_fundamental_value,terminal_anchor_scale_bubble_share_exposure,bubble_share_derivative_wrt_terminal_value,q_US,v_US,B_per,Q_US,V_agg,B_agg,fundamental_share,bubble_share,NFA,NFA_fund,NFA_bubble,max_u_residual,terminal_successor_phi_US
105,0,local_loglinear,1,104,false,7.614973944826394e-8,1.492003884740837e-11,1.4918799766885686e-11,-8.638036787978781e-8,0.8815630370345096,0.8814898249202598,7.321211424970997e-5,0.9427241474886037,0.9426458560617942,7.829142680948475e-5,0.9999169519238283,8.304807617164723e-5,-0.1025020984314583,-0.10242380700464881,-7.829142680948475e-5,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,2,103,false,1.0734090624247244e-7,2.087315200061862e-11,2.0870726947144892e-11,-1.2084223260470218e-7,0.8882731138674413,0.8881699138428194,0.00010320002462194111,1.0157167607219018,1.015598754229215,0.00011800649268667307,0.9998838194886113,0.0001161805113886298,-0.08157237720680799,-0.08145437071412132,-0.00011800649268667307,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,3,102,false,1.50618319352748e-7,2.9026369710939457e-11,2.9021680378698323e-11,-1.6803653556407367e-7,0.8963426843284092,0.896197876393742,0.00014480793466720154,1.0960016613234012,1.0958245976403445,0.00017706368305669962,0.9998384457895412,0.0001615542104588588,-0.05778537955822394,-0.05760831587516724,-0.00017706368305669962,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,4,101,false,2.1033801961474105e-7,4.011523959358886e-11,4.010628352198356e-11,-2.322167720629719e-7,0.9057830653063343,0.9055808414613833,0.00020222384495105494,1.1845106369318938,1.184246184763863,0.0002644521680308376,0.9997767414155809,0.00022325858441914767,-0.030784186170297545,-0.030519734002266707,-0.0002644521680308376,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,5,100,false,2.9228092446092953e-7,5.5088654502903885e-11,5.5071766187737e-11,-3.188674355456836e-7,0.9166220563123478,0.9163410510433753,0.0002810052689725673,1.2823243558304902,1.281931238625816,0.0003931172046742759,0.9996934338781863,0.00030656612181375573,-0.00016444079558852742,0.0002286764090857485,-0.0003931172046742759,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,6,99,false,4.0405703406560923e-7,7.515748776030406e-11,7.512605677407763e-11,-4.3498247331576887e-7,0.9289041716682921,0.9285157024006858,0.00038846926760627287,1.3907004651204666,1.390118871875843,0.0005815932446235905,0.9995817983388873,0.00041820166111270493,0.03453138626648755,0.03511297951111114,-0.0005815932446235905,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,7,98,false,5.555997001442841e-7,1.0184920870782271e-10,1.0179149694704007e-10,-5.893762963986158e-7,0.9426909489561701,0.9421567832495499,0.0005341657066202377,1.5111073190616677,1.5102510663207673,0.0008562527409003984,0.9994333607348074,0.0005666392651926895,0.07382080879087938,0.07467706153177978,-0.0008562527409003984,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,8,97,false,7.597623646014917e-7,1.3706750896488965e-10,1.3696300495233571e-10,-7.930205471330401e-7,0.9580613861118924,0.9573309339436303,0.0007304521682620635,1.6452646387149594,1.6440102440173592,0.0012543946976002474,0.999237572687042,0.0007624273129579916,0.11828931760045758,0.11954371229805782,-0.0012543946976002474,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,9,96,false,1.033030596149697e-6,1.8315545506833376e-10,1.829689063263373e-10,-1.059396311096864e-6,0.9751125101428105,0.9741193319052075,0.0009931782376030318,1.795192643070444,1.7933641912283673,0.0018284518420765838,0.9989814731866608,0.0010185268133392383,0.16859974622244644,0.17042819806452303,-0.0018284518420765838,1.034012695870799e-6,0.021722258916734336
105,0,local_loglinear,10,95,false,1.3963623527812442e-6,2.429601370389933e-10,2.4263198274103936e-10,-1.4048475920357797e-6,0.9939600286161723,0.9926175357308786,0.0013424928852936446,1.9632714461297645,1.9606197520249231,0.00265169410484134,0.9986493492226617,0.0013506507773383435,0.22550333676563517,0.2281550308704765,-0.00265169410484134,1.034012695870799e-6,0.021722258916734336
