T_report,n_buffer,terminal_rule,status,residual_safe,tail_window,final_solved_t,final_e_W_over_e_US,max_tail_e_W_over_e_US,tail_log_slope_e_W_over_e_US,successor_e_W_over_e_US,successor_HKT_e_W_over_e_US,final_Y_W_over_Y_US,max_tail_Y_W_over_Y_US,successor_Y_W_over_Y_US,successor_HKT_Y_W_over_Y_US,final_Q_W_over_Q_US,max_tail_Q_W_over_Q_US,final_Q_US_over_beta_e_US,max_tail_abs_US_funding_gap,final_omega_times_one_minus_theta,final_omega_star_S_star_over_beta_e_US,successor_phi_US_LL,successor_phi_US_HKT_scalar,successor_HKT_phi_over_floor,successor_LL_vs_HKT_phi_log_gap,max_tail_abs_log_phi_US_vs_HKT_scalar,max_tail_residual_norm,psi_ok,equity_weights_ok,hkt_entry_gate,hkt_entry_reason
45,0,local_loglinear,ok,true,8,45,0.01939655996351349,0.043068450427351385,-0.11399857104653874,0.017228909661745253,0.01716382244071523,0.014365074066101937,0.03673328773001244,0.012440341998327829,0.01246793223634778,0.12615381613383286,0.2210611621119042,0.9052875617680729,0.14559340280549748,0.897707896662826,0.007579674470281548,0.26536800565411967,0.25258091538232486,252.58091538232486,0.04938590887517025,0.0829760382083835,4.861494162372316e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
46,0,local_loglinear,ok,true,8,46,0.01719701656425449,0.03856062139594743,-0.11539761999821922,0.015256508010701728,0.015201350104945983,0.012444089038242645,0.032369258147850355,0.01075273443941572,0.010773966144951075,0.11491566664709618,0.20490821424516117,0.9124300496634269,0.1378990994038326,0.905466030729095,0.00696402794335857,0.25559387805624667,0.2442520188810683,244.2520188810683,0.045389214427319136,0.07834713000798588,4.909504583691672e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
47,0,local_loglinear,ok,true,8,47,0.015227533878348264,0.03447055448236902,-0.1167541258774177,0.013493172692430305,0.013446733181623472,0.010756622102837218,0.028450659352349004,0.00927453138862148,0.009290779729071075,0.10444145987735844,0.18944790018152619,0.9192911656412743,0.13014933978678112,0.9129123180961585,0.006378856194998937,0.24612147520959493,0.23609418088848,236.09418088848,0.041594418738372774,0.07371369849474552,4.93497916502957e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
48,0,local_loglinear,ok,true,8,48,0.01346697497068796,0.03076754820570509,-0.11806980768121153,0.011919270439652532,0.011880413669558455,0.00927841844240105,0.024943514245453824,0.007983237938366316,0.007995606118047912,0.09471280156243062,0.17471158858964375,0.9258446222159809,0.12240534404964931,0.9200190198598015,0.005825610609160408,0.23694915138047723,0.228111749899421,228.111749899421,0.038009926961297014,0.06911275865137467,5.008319908875162e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
49,0,local_loglinear,ok,true,8,49,0.01189571392518965,0.027421983088734326,-0.11934638704847368,0.010516645985422752,0.010484325874982926,0.00798701400777521,0.021814740968961032,0.006858150887346658,0.006867516914484295,0.0857068580838473,0.16072191499328872,0.932070084587686,0.11472473311456,0.926764876229848,0.005305216143367134,0.2280737576431591,0.22030837845446383,220.30837845446382,0.03464078996783582,0.06457814634210313,5.031623918768799e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
50,0,local_loglinear,ok,true,8,50,0.010495613875300127,0.02440546996887809,-0.12058527462436858,0.009268585130272344,0.009241852975442182,0.006861729845943636,0.0190323681051278,0.0058803260382395,0.0058873833843388545,0.07739734620955141,0.14749336915391112,0.9379527632667939,0.10716095613524423,0.9331346624951662,0.004818108330148907,0.21949093846710915,0.2126870475745294,212.68704757452937,0.03148912397834369,0.06014030357506539,5.182306690443079e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
51,0,local_loglinear,ok,true,8,51,0.009249943283279664,0.021690944840500343,-0.12178770135840959,0.008159717964799992,0.008137725480719872,0.005883648342103455,0.016565729246317475,0.005032531998889889,0.00503782433078267,0.0697546379782795,0.135032408350436,0.9434835944841061,0.09976239872847459,0.9391193189320736,0.0043642826720784005,0.21119529761948094,0.20525008148487356,205.25008148487356,0.028554141189463644,0.055825899835762804,5.179269896608014e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
52,0,local_loglinear,ok,true,8,52,0.008143347165037557,0.01925277566822994,-0.12295430134049314,0.007175983254657988,0.007157981274242731,0.00503555477269687,0.01438562480748294,0.004299172886383449,0.004303123443724951,0.06274704289164651,0.12333845883986902,0.9486583444402326,0.09257219356251489,0.9447150081356228,0.003943343088400987,0.20318069724851834,0.1979991878289511,197.99918782895108,0.025832788524269734,0.05165788634276325,5.291998165578317e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
53,0,local_loglinear,ok,true,8,53,0.007161740090262744,0.01706679624960497,-0.12408545190144722,0.006304515018127461,0.006289849595048724,0.004301874099317617,0.012464455238918419,0.003666211111818479,0.0036691471340513536,0.056340772114966395,0.1124040930966193,0.953477691019265,0.08562751143447,0.9499231399235767,0.0035545575624947564,0.19544037259529845,0.19093547887953666,190.93547887953665,0.023319769327468487,0.04765524943706856,5.33396996091046e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
54,0,local_loglinear,ok,true,8,54,0.006292256073219889,0.015110351434830558,-0.12518103095242195,0.005533590662980382,0.005521696879841073,0.003668581982990379,0.010776315179130802,0.003121067837380197,0.0031232407086563547,0.0505009591714492,0.10221602088564663,0.9579463421840706,0.0789595672606066,0.9547494367184813,0.0031969115485809777,0.1879671584387904,0.1840595149469988,184.05951494699877,0.02100810230569161,0.043833181831723245,5.392565242576077e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
55,0,local_loglinear,ok,true,8,55,0.005523160729594069,0.013362294121295065,-0.12624061751662752,0.004852542197498636,0.0048429367709787,0.003123112520250937,0.009297054969490086,0.0026525240745533477,0.002654125711803498,0.04519199534305069,0.09275565679595194,0.9620726475716503,0.07259343783637051,0.9592034919202088,0.0028691615281409657,0.1807536124603734,0.17737133753619322,177.3713375361932,0.018889359661488747,0.04020313223953775,5.463753654090315e-7,true,true,false,tail e_W/e_US exceeds threshold | tail Y_W/Y_US exceeds threshold | LL-successor e_W/e_US exceeds threshold | HKT-successor e_W/e_US exceeds threshold | distance from the single-country US funding limit is too large | LL and HKT successor phi values remain too far apart
