T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_converged,max_u_residual,max_bgp_residual,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_effective,q_growth,minus_nfa_final,cond_1b_final,bubble_share_final,error
45,0,flat,69.8171820640564,ok,45,true,4.895213168041271e-7,7.031557954746385e-10,true,0.9887778308514651,true,0.12119412368483107,0.40859404019822676,6.674647272582621,-49.86428350426098,0.035893918889061835,0.986996723133432,
45,0,local_loglinear,73.37782502174377,ok,45,false,0.00014723973566525166,7.029141312681287e-10,true,0.9887778617314633,true,0.10508730112954567,0.40859404019822676,6.816316521005085,-43.052843398976904,0.035149669218931534,0.9873094789269151,
45,0,asymptotic_hkt,40.235597133636475,ok,45,false,0.0005504850217686949,7.0315663514955e-10,true,0.9887778307313306,true,0.12110048740505808,0.40859404019822676,6.67463162865679,-49.86466062164152,0.03589444566275971,0.9869966766375621,
45,0,tail_regression,123.29513216018677,ok,45,true,4.98740052511229e-6,7.029228754038513e-10,true,0.9887778606777978,true,0.10562097269162551,0.40859404019822676,6.811658728295669,-43.277498703979234,0.035173642116270595,0.9872993955702779,
45,0,hkt_scalar_terminal_us,5.756196975708008,ok,45,true,3.0900407954511637e-7,7.018896706159768e-10,true,0.9887779928334979,true,0.047902227628630056,0.40859404019822676,7.3452627978517775,-17.243633515521196,0.03268935321047619,0.9883747035528455,
45,5,flat,69.41992092132568,ok,50,true,8.643154821997472e-9,7.030547238980123e-10,true,0.9887778437611207,true,0.11426856733048307,0.40859404019822676,6.734783706230838,-46.97914067078784,0.03557337153947976,0.75742740529042,
45,5,local_loglinear,84.05032801628113,ok,50,true,8.51231349644807e-6,7.02911799745702e-10,true,0.9887778620665251,true,0.10492923718654457,0.40859404019822676,6.817686826802543,-42.986824402455795,0.03514252437787341,0.7592253532102871,
45,5,asymptotic_hkt,22.084759950637817,ok,50,true,2.215590732640295e-6,7.030120871881613e-10,true,0.9887778492443408,true,0.11142935406700916,0.40859404019822676,6.759951127797529,-45.76887347438702,0.035441336303079,0.7579810595536121,
45,5,tail_regression,75.3637490272522,ok,50,true,2.909712178303307e-8,7.02881470365105e-10,true,0.9887778659691843,true,0.10295204053237539,0.40859404019822676,6.835386473753994,-42.13203795192038,0.03505250501699487,0.7595993907346776,
45,5,hkt_scalar_terminal_us,6.221289873123169,ok,50,true,4.0478533524936726e-8,7.024300983612481e-10,true,0.9887779236605353,true,0.07582623599491589,0.40859404019822676,7.081206581302452,-30.190600764999942,0.033858299461548155,0.764446990675015,
45,20,flat,42.60337209701538,ok,65,true,3.0175056261078443e-9,7.029958976656072e-10,true,0.988777851431214,true,0.11031003341556667,0.40859404019822676,6.769869189781643,-45.29155940502159,0.035389547879203995,0.43741181699694875,
45,20,local_loglinear,40.150721073150635,ok,65,true,2.8097800995762663e-6,7.02868496974185e-10,true,0.9887778676646148,true,0.10211565879195605,0.40859404019822676,6.842842558984874,-41.77188009439118,0.035014579269054984,0.45115613470828286,
45,20,asymptotic_hkt,60.99320912361145,ok,65,true,5.378154744426806e-6,7.028826049458827e-10,true,0.9887778658124952,true,0.10304481772066332,0.40859404019822676,6.834523706463742,-42.17383951016859,0.035056739679990234,0.45079341578712884,
45,20,tail_regression,34.315043926239014,ok,65,true,1.1288432570307434e-8,7.028543607586376e-10,true,0.9887778694009777,true,0.10123762137106385,0.40859404019822676,6.850712622801818,-41.39144500755998,0.03497482280768468,0.4514947447650486,
45,20,hkt_scalar_terminal_us,295.8586962223053,ok,65,false,4.316966162864224e-5,7.027079394783911e-10,true,0.9887778882406972,true,0.09220230881853675,0.40859404019822676,6.931627254182619,-37.473444900124605,0.034570592323691564,0.4558269584759608,
