T_report,n_buffer,terminal_rule,solved_t,is_reported_period,periods_to_extended_end,e_W_over_e_US,Q_W_over_Q_US,omega_times_one_minus_theta,omega_star_S_star_over_beta_e_US,omega_US,theta_US,omega_star,S_star_over_beta_e_US,phi_US,phi_W,q_US,q_W,residual_norm
45,0,local_loglinear,38,true,7,0.043107216946917125,0.22188010502654185,0.8412380045564617,0.012626791207576113,0.8355467615607575,-0.006811399741497793,0.3458420716480748,0.036510280971324395,0.3527102342046998,0.28298510947457384,3.59266280981563,0.6110202111204026,1.8595550849279539e-6
45,0,local_loglinear,39,true,6,0.03862264543201582,0.20621047192073558,0.8493672167392077,0.011853451965831685,0.8445482086394817,-0.005706018970177292,0.35801537689092566,0.03310877892667444,0.34093719949641,0.2730374899007246,3.8562314251738017,0.6023025942461047,2.0952093839858482e-6
45,0,local_loglinear,40,true,5,0.034556743597315816,0.1912430674443478,0.8575225325309,0.01108870997088777,0.8534479596689846,-0.004774248758525109,0.3701861149258947,0.029954418936289796,0.32938320803597676,0.263323223371625,4.143426710333507,0.5932752200757171,2.346728417835751e-6
45,0,local_loglinear,41,true,4,0.030878718186248308,0.17700464790496157,0.8656405732955864,0.010337833199314892,0.8621999845339472,-0.003990476482667763,0.38228991864350254,0.02704186716719373,0.3180670985494022,0.2538409435403081,4.456225856671948,0.5839574037064194,2.6128718399772406e-6
45,0,local_loglinear,42,true,3,0.027558834200637563,0.16351317131619073,0.8736625055550463,0.009605632606740556,0.8707606995272927,-0.003332495402386451,0.3942640973068678,0.024363447426114983,0.3070044349362084,0.2445872568457734,4.796767574293223,0.5743744234723179,2.8931348544843376e-6
45,0,local_loglinear,43,true,2,0.02456855433366838,0.1507783116480751,0.8815347333378291,0.008896379633666093,0.8790898748947797,-0.002781124561742941,0.40604824862986355,0.021909661385525782,0.29620765282213396,0.23555675909953927,5.167368228138624,0.564557655825981,3.186639216493258e-6
45,0,local_loglinear,44,true,1,0.0218806554519997,0.1388020809385762,0.8892094439815936,0.008213748740960007,0.8871513773793612,-0.0023198595580293463,0.4175847920366409,0.01966965487631861,0.2856862555976719,0.22674210116260832,5.570539935781447,0.5545445060661806,3.492414243452403e-6
45,0,local_loglinear,45,true,0,0.019469318930787616,0.12757952827345706,0.896644458379132,0.007561321020025617,0.8949126988704543,-0.0019351155826300027,0.42886352862082766,0.01763106563139536,0.2754470470103312,0.21813410140694403,6.009010791266694,0.5443781383832741,0.00014723973566525166
45,5,local_loglinear,43,true,7,0.024559275026048464,0.1505915007851694,0.8816659853963704,0.008899476529839538,0.8792217869177179,-0.002779956678759111,0.40634088933190254,0.021901503795180143,0.2961813803456999,0.23571071970992208,5.1682521734254045,0.5640825574552624,7.121744764670508e-6
45,5,local_loglinear,44,true,6,0.021870579517182822,0.1386020083245529,0.8893530495207163,0.008216650205558304,0.8872957224337539,-0.00231864871535668,0.4179217236828577,0.019660739655145462,0.2856587459028755,0.22691910445705815,5.571575760485039,0.5539934194740359,7.804551759455947e-6
45,5,local_loglinear,45,true,5,0.0194584197593218,0.12736626708281593,0.8968012104699837,0.007563431365204528,0.8950707628134554,-0.0019333082125138816,0.4292058716988234,0.017621919605312012,0.2754184046971875,0.21833679369639722,6.01021888628505,0.5437417897297697,8.51231349644807e-6
45,5,local_loglinear,46,false,4,0.017298448886572067,0.116873200267879,0.9039751202462514,0.006942223316559768,0.9025203914476686,-0.0016118514466463812,0.4401428542673084,0.015772659374684753,0.2654647287585232,0.20995310149454785,6.48714994409822,0.5333754501520201,9.242542425248846e-6
45,5,local_loglinear,47,false,3,0.01536782476141406,0.10710629232928202,0.9108458822865273,0.006354797678992717,0.9096233532353237,-0.0013439947939500353,0.4506857034854776,0.01410028680707305,0.25579991697441096,0.20175584354183312,7.0056007486301235,0.5229468828252972,9.99264788054903e-6
45,5,local_loglinear,48,false,2,0.013645222091048162,0.09804437545123623,0.9173909570343861,0.00580232167702111,0.9163636983760679,-0.0011210163171441248,0.4607909050550476,0.012592092450973931,0.24642427045678086,0.19373155091299119,7.569093951428786,0.5125125594925722,1.0759967655491115e-5
45,5,local_loglinear,49,false,1,0.01211082283063157,0.08966240667467583,0.9235939272708529,0.0052853994688225134,0.9227306735504698,-0.0009355424558083671,0.4704182136358741,0.011235533224726844,0.23733646344678902,0.1858657068355369,8.181473131160464,0.5021321594399687,1.1541798855597375e-5
45,5,local_loglinear,50,false,0,0.010746288151702393,0.08193222111521435,0.9294437883644415,0.0048044779629283045,0.928717989666888,-0.0007815060175734603,0.47957275564797985,0.010018246254286657,0.22853380285347577,0.17814300018551094,8.84693570901805,0.4918677619704972,0.0006661579580699191
45,20,local_loglinear,58,false,7,0.003813434985669751,0.03366174499489058,0.9690752784014868,0.0020644493007859577,0.9689045096370476,-0.00017624932358220849,0.564649917932603,0.0036561579754490845,0.16719249125021976,0.13568249649341999,16.84824546327194,0.3702076481753335,6.084936762177731e-6
45,20,local_loglinear,59,false,6,0.0033563832096455367,0.0302265083425387,0.9720879702865728,0.0018441091589370714,0.9719446043395621,-0.00014750423673375894,0.57171443498565,0.0032255773968403625,0.16072093624269868,0.130096157987549,18.27204981144651,0.3586390507877064,6.329231885814e-6
45,20,local_loglinear,60,false,5,0.002954363917937582,0.0271294181002445,0.9748297965634581,0.0016456113009068205,0.9747093021472077,-0.00012362087443398823,0.5783325277463705,0.0028454413714535326,0.15447584103165504,0.12459665696156333,19.821233045474038,0.3474075432761359,6.569342186883499e-6
45,20,local_loglinear,61,false,4,0.002601066688993143,0.024342002272329494,0.9773187282275739,0.0014672210275723495,0.9772173280225536,-0.00010376423146900895,0.584493603305937,0.002510243087817632,0.14845039846079905,0.11917223832014646,21.50720949921269,0.3365432564152098,6.8049418936613024e-6
45,20,local_loglinear,62,false,3,0.002290845206293817,0.02183735247851149,0.9795727140635887,0.0013072597139527301,0.9794872603103634,-8.724335342386779e-5,0.5901852141880104,0.002214999092702257,0.14263793051072346,0.11381157319618765,23.342475413864268,0.326073370570841,7.035785736648722e-6
45,20,local_loglinear,63,false,2,0.002018657563293255,0.0195901867328395,0.9816094217340395,0.0011641204445041414,0.9815372918225834,-7.348667448211719e-5,0.5953928662368854,0.0019552139612653333,0.13703190836053597,0.10850379743644692,25.34071075114737,0.316022303599128,7.2617061514147965e-6
45,20,local_loglinear,64,false,1,0.0017800103061049928,0.017576878033826102,0.9834460296535824,0.0010362793214916115,0.9833850386604407,-6.202147759412719e-5,0.6000999283807362,0.0017268446011780548,0.13162596483069713,0.1032385518278314,27.516890535728724,0.3064119441657835,7.482608795500069e-6
45,20,local_loglinear,65,false,0,0.0015709062415026264,0.01577545410426385,0.9850989959440827,0.0009223723583241447,0.985047319487324,-5.2460887651096265e-5,0.6043346940554116,0.001526260807789354,0.12641390088129134,0.09800602743364425,29.887406670442477,0.29726191769597704,0.0014378696489989364
