T_report,n_buffer,terminal_rule,baseline_T_report,baseline_n_buffer,T0,status,max_u_residual,max_bgp_residual,max_log_q_error,max_log_dividend_yield_error,max_phi_error,max_bubble_share_error
45,0,local_loglinear,45,5,20,ok,0.00014723973566525166,7.029141312681287e-10,4.158828504630119e-6,2.2290882921716104e-6,1.2584126013459596e-6,0.01197326631430342
45,0,local_loglinear,45,5,30,ok,0.00014723973566525166,7.029141312681287e-10,3.295023909921646e-5,1.7382491401818356e-5,7.84711344781197e-6,0.05984911265995488
45,0,local_loglinear,45,5,40,ok,0.00014723973566525166,7.029141312681287e-10,0.00012872349806225536,6.700433119410931e-5,2.2069362181353913e-5,0.1620757813871242
45,5,local_loglinear,45,5,20,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,0.0,0.0,0.0
45,5,local_loglinear,45,5,30,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,0.0,0.0,0.0
45,5,local_loglinear,45,5,40,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,0.0,0.0,0.0
45,20,local_loglinear,45,5,20,ok,2.8097800995762663e-6,7.02868496974185e-10,7.401697114028938e-5,3.968005366905558e-5,2.2400563231106396e-5,0.016137729778283188
45,20,local_loglinear,45,5,30,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0005980809154323419,0.00031555678637795737,0.00014243054551266177,0.08069366624848809
45,20,local_loglinear,45,5,40,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0023567890537274927,0.0012269099024972974,0.000403848648923677,0.2187489116207208
60,0,local_loglinear,45,5,20,ok,0.0011682554419407498,7.028764772471178e-10,5.976377949024059e-5,3.2038976955472975e-5,1.808701865901874e-5,0.012624957667241192
60,0,local_loglinear,45,5,30,ok,0.0011682554419407498,7.028764772471178e-10,0.0004829159299466479,0.00025479363552216583,0.0001150078229686935,0.06313367105245413
60,0,local_loglinear,45,5,40,ok,0.0011682554419407498,7.028764772471178e-10,0.0019037789394193982,0.0009910790173575101,0.0003262612116465835,0.17118527374277343
60,5,local_loglinear,45,5,20,ok,6.569342186883499e-6,7.02868496974185e-10,7.401697114028938e-5,3.968005366905558e-5,2.2400563231106396e-5,0.016137729778283188
60,5,local_loglinear,45,5,30,ok,6.569342186883499e-6,7.02868496974185e-10,0.0005980809154323419,0.00031555678637795737,0.00014243054551266177,0.08069366624848809
60,5,local_loglinear,45,5,40,ok,6.569342186883499e-6,7.02868496974185e-10,0.0023567890537274927,0.0012269099024972974,0.000403848648923677,0.2187489116207208
60,20,local_loglinear,45,5,20,ok,1.2667904696136518e-9,7.029441903364592e-10,5.386883475017035e-5,2.887763504277885e-5,1.6302837431481088e-5,0.030250881540932244
60,20,local_loglinear,45,5,30,ok,1.2667904696136518e-9,7.029441903364592e-10,0.00043391237050360854,0.00022893110488553248,0.00010335908370551206,0.15118961536230766
60,20,local_loglinear,45,5,40,ok,1.2667904696136518e-9,7.029441903364592e-10,0.001713279442101756,0.0008918891094138459,0.0002938846494250913,0.4092704458723126
