T_report,n_buffer,terminal_rule,reference_rule,T0,status,max_u_residual,max_bgp_residual,max_log_q_error,max_log_dividend_yield_error,max_phi_error,max_bubble_share_error
45,0,flat,local_loglinear,20,ok,4.895213168041271e-7,7.031557954746385e-10,0.00040680989732794215,0.00021808417690394322,0.00012313110743544797,0.0005182148058576683
45,0,flat,local_loglinear,30,ok,4.895213168041271e-7,7.031557954746385e-10,0.0032913587453081705,0.0017365093535692822,0.0007846138001175729,0.002182101065518638
45,0,flat,local_loglinear,40,ok,4.895213168041271e-7,7.031557954746385e-10,0.013165207154213432,0.006853513125038457,0.0022651855123335674,0.0030307719913355013
45,0,local_loglinear,local_loglinear,20,ok,0.00014723973566525166,7.029141312681287e-10,0.0,0.0,0.0,0.0
45,0,local_loglinear,local_loglinear,30,ok,0.00014723973566525166,7.029141312681287e-10,0.0,0.0,0.0,0.0
45,0,local_loglinear,local_loglinear,40,ok,0.00014723973566525166,7.029141312681287e-10,0.0,0.0,0.0,0.0
45,0,asymptotic_hkt,local_loglinear,20,ok,0.0005504850217686949,7.0315663514955e-10,0.0004072947622949519,0.00021834277016452575,0.00012327712605642027,0.0005186113350625632
45,0,asymptotic_hkt,local_loglinear,30,ok,0.0005504850217686949,7.0315663514955e-10,0.0032932472386526523,0.0017374980766544645,0.0007850609269450248,0.0021832358988512213
45,0,asymptotic_hkt,local_loglinear,40,ok,0.0005504850217686949,7.0315663514955e-10,0.01316827092546835,0.006855085871765976,0.002265707111669457,0.0030318951385669424
45,0,tail_regression,local_loglinear,20,ok,4.98740052511229e-6,7.029228754038513e-10,1.3775516562175572e-5,7.3845401797889565e-6,4.168898612433303e-6,1.7276825433142073e-5
45,0,tail_regression,local_loglinear,30,ok,4.98740052511229e-6,7.029228754038513e-10,0.00011070324522555186,5.840597548623094e-5,2.6367663477577796e-5,7.234705417685783e-5
45,0,tail_regression,local_loglinear,40,ok,4.98740052511229e-6,7.029228754038513e-10,0.00043614183668050366,0.00022704170111120803,7.47922140243995e-5,9.958802122500554e-5
45,5,flat,local_loglinear,20,ok,8.643154821997472e-9,7.030547238980123e-10,0.000240495545429098,0.00012892542920628358,7.278835184321153e-5,0.000320840751092448
45,5,flat,local_loglinear,30,ok,8.643154821997472e-9,7.030547238980123e-10,0.001943059909869982,0.001025158043467922,0.0004630283540992264,0.0014177602063876749
45,5,flat,local_loglinear,40,ok,8.643154821997472e-9,7.030547238980123e-10,0.007726876804654115,0.004022445019018495,0.001327505190110434,0.0023684828065551056
45,5,local_loglinear,local_loglinear,20,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,0.0,0.0,0.0
45,5,local_loglinear,local_loglinear,30,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,0.0,0.0,0.0
45,5,local_loglinear,local_loglinear,40,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,0.0,0.0,0.0
45,5,asymptotic_hkt,local_loglinear,20,ok,2.215590732640295e-6,7.030120871881613e-10,0.0001682861280643544,9.021491195282394e-5,5.093229236408092e-5,0.0002235213277073586
45,5,asymptotic_hkt,local_loglinear,30,ok,2.215590732640295e-6,7.030120871881613e-10,0.0013584823636650922,0.0007167354689148198,0.00032367464237043064,0.0009867622859923153
45,5,asymptotic_hkt,local_loglinear,40,ok,2.215590732640295e-6,7.030120871881613e-10,0.0053883039825770584,0.002805031048237261,0.0009251651719635601,0.001644302049883306
45,5,tail_regression,local_loglinear,20,ok,2.909712178303307e-8,7.02881470365105e-10,5.188423237539874e-5,2.7815224470817412e-5,1.5702609580059423e-5,6.82689056812763e-5
45,5,tail_regression,local_loglinear,30,ok,2.909712178303307e-8,7.02881470365105e-10,0.0004198933317187681,0.00022154424222398106,0.00010000149536665282,0.0003010844840354021
45,5,tail_regression,local_loglinear,40,ok,2.909712178303307e-8,7.02881470365105e-10,0.0016570991429198934,0.0008626679100394163,0.00028400676577333694,0.0004986121677803546
45,20,flat,local_loglinear,20,ok,3.0175056261078443e-9,7.029958976656072e-10,0.00021360495955724534,0.00011451050938537932,6.464698622488108e-5,0.0008386247766939241
45,20,flat,local_loglinear,30,ok,3.0175056261078443e-9,7.029958976656072e-10,0.0017247582770485437,0.0009099929686136043,0.0004108589416008668,0.00409498023892596
45,20,flat,local_loglinear,40,ok,3.0175056261078443e-9,7.029958976656072e-10,0.006821643719167936,0.003551215238928318,0.0011702748603780733,0.010326653359685745
45,20,local_loglinear,local_loglinear,20,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0,0.0,0.0,0.0
45,20,local_loglinear,local_loglinear,30,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0,0.0,0.0,0.0
45,20,local_loglinear,local_loglinear,40,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0,0.0,0.0,0.0
45,20,asymptotic_hkt,local_loglinear,20,ok,5.378154744426806e-6,7.028826049458827e-10,2.452531647367806e-5,1.3147942170110838e-5,7.4223035398945925e-6,3.2672476997005345e-5
45,20,asymptotic_hkt,local_loglinear,30,ok,5.378154744426806e-6,7.028826049458827e-10,0.0001982110797809078,0.00010457986745970871,4.719846618217449e-5,0.0001520185681058578
45,20,asymptotic_hkt,local_loglinear,40,ok,5.378154744426806e-6,7.028826049458827e-10,0.0007800170310932053,0.000406066593668708,0.00013360569079079454,0.00032256780427186715
45,20,tail_regression,local_loglinear,20,ok,1.1288432570307434e-8,7.028543607586376e-10,2.3253749891816167e-5,1.2466331627880578e-5,7.037429215372981e-6,3.0700274270163697e-5
45,20,tail_regression,local_loglinear,30,ok,1.1288432570307434e-8,7.028543607586376e-10,0.00018793858447174738,9.916038078738865e-5,4.4748011664097476e-5,0.00014273314488090494
45,20,tail_regression,local_loglinear,40,ok,1.1288432570307434e-8,7.028543607586376e-10,0.0007385561950481456,0.00038448329688822724,0.00012645427206875448,0.00030197101291690176
