experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,minus_NFA,cond_1b
terminal_rule_baseline_buffer,45,5,flat,1,0.8815620931902627,0.13062204652098536,0.6531102326049267,0.9427230670804795,0.10250098912092986,0.0
terminal_rule_baseline_buffer,45,5,flat,2,0.8882717704442552,0.13071174412325368,0.6535587206162684,1.0157150408759081,0.08157072467283721,1.072974348089603
terminal_rule_baseline_buffer,45,5,flat,3,0.8963407734079618,0.13067192721572332,0.6533596360786165,1.0959989650876318,0.05778291287326098,1.0394942112304577
terminal_rule_baseline_buffer,45,5,flat,4,0.9057803528669437,0.13050798861280494,0.6525399430640246,1.1845064579858444,0.030780503207785026,1.005740533155405
terminal_rule_baseline_buffer,45,5,flat,5,0.9166182161415958,0.13022438086059343,0.6511219043029671,1.2823179342409854,0.0001589446055254573,0.9716901015918515
terminal_rule_baseline_buffer,45,5,flat,6,0.9288987517880989,0.12982468820245976,0.6491234410122988,1.3906906655060158,-0.03453957774251126,0.9373016389381047
terminal_rule_baseline_buffer,45,5,flat,7,0.9426833248936324,0.1293117164452157,0.6465585822260785,1.5110924494001423,-0.07383299636788498,0.9025332541077583
terminal_rule_baseline_buffer,45,5,flat,8,0.9580507008995811,0.1286875938917718,0.643437969458859,1.6452421894304672,-0.1183074099606709,0.8673624442152505
terminal_rule_baseline_buffer,45,5,flat,9,0.9750975910999442,0.12795388221602555,0.6397694110801276,1.7951589009014954,-0.16862653903864366,0.8318021686494471
terminal_rule_baseline_buffer,45,5,flat,10,0.9939392793060706,0.12711169854170246,0.6355584927085123,1.9632209362892161,-0.22554291072090793,0.7959079126004356
terminal_rule_baseline_buffer,45,5,flat,11,1.0147102837339514,0.1261618495971719,0.6308092479858595,2.1522375986112823,-0.28991118821977,0.7597747020803285
terminal_rule_baseline_buffer,45,5,flat,12,1.0375650641867202,0.12510497395786868,0.6255248697893434,2.365535912422128,-0.36270402987610106,0.7235272004713448
terminal_rule_baseline_buffer,45,5,flat,13,1.0626788338959001,0.12394168496668923,0.6197084248334461,2.607066107711828,-0.44503079367547604,0.6873075609708109
terminal_rule_baseline_buffer,45,5,flat,14,1.0902485426181265,0.12267270722450845,0.6133635361225422,2.88153029803579,-0.5381593855131892,0.6512647268655627
terminal_rule_baseline_buffer,45,5,flat,15,1.1204940687849765,0.12129900231569862,0.6064950115784932,3.194539907953395,-0.6435416186736163,0.6155467037883671
terminal_rule_baseline_buffer,45,5,flat,16,1.1536596435374809,0.11982188090537257,0.5991094045268628,3.552808770972472,-0.7628425097913909,0.5802958113383697
terminal_rule_baseline_buffer,45,5,flat,17,1.190015497288663,0.11824310049223878,0.5912155024611939,3.964390461883039,-0.8979740742001954,0.5456461416296372
terminal_rule_baseline_buffer,45,5,flat,18,1.229859712614548,0.11656494823551396,0.5828247411775698,4.438970538810322,-1.051134288695195,0.5117223549657447
terminal_rule_baseline_buffer,45,5,flat,19,1.2735202701353274,0.11479030782527518,0.5739515391263758,4.988227049937576,-1.2248519823806525,0.4786391016519641
terminal_rule_baseline_buffer,45,5,flat,20,1.321357263578806,0.11292270970413591,0.5646135485206796,5.62627597287722,-1.4220385806192688,0.44650073476708013
terminal_rule_baseline_buffer,45,5,flat,21,1.3737652642052496,0.11096636353979199,0.55483181769896,6.370222463732576,-1.6460477768609696,0.4154010782742114
terminal_rule_baseline_buffer,45,5,flat,22,1.4311758218158113,0.10892617158355997,0.5446308579177999,7.240844107370484,-1.9007443711746772,0.38542313532365297
terminal_rule_baseline_buffer,45,5,flat,23,1.4940600811323834,0.10680772224649045,0.5340386112324521,8.263438974267533,-2.190583798277949,0.356638803251588
terminal_rule_baseline_buffer,45,5,flat,24,1.5629315003381083,0.10461726331772908,0.5230863165886455,9.468879686504607,-2.5207041545422886,0.32910858523394193
terminal_rule_baseline_buffer,45,5,flat,25,1.6383486711398538,0.10236165454142164,0.5118082727071082,10.8949253215347,-2.8970328639771967,0.30288130209595465
terminal_rule_baseline_buffer,45,5,flat,26,1.720918236520421,0.10004830043867691,0.5002415021933846,12.587856299175177,-3.3264106514409235,0.27799391211379415
terminal_rule_baseline_buffer,45,5,flat,27,1.8112979210711069,0.09768506473391762,0.4884253236695881,14.604514357106456,-3.8167360335703435,0.25447142010174517
terminal_rule_baseline_buffer,45,5,flat,28,1.9101996924033076,0.0952801689246184,0.47640084462309196,17.01485107893965,-4.377134347791596,0.23232695099449444
terminal_rule_baseline_buffer,45,5,flat,29,2.0183930939194275,0.09284207810892821,0.4642103905446409,19.90511563636867,-5.01815624059671,0.21156196372545333
terminal_rule_baseline_buffer,45,5,flat,30,2.136708789480424,0.09037937832580077,0.4518968916290038,23.38184671864194,-5.752011894476816,0.1921666898526953
terminal_rule_baseline_buffer,45,5,flat,31,2.2660423826754816,0.08790064989446553,0.4395032494723276,27.576877375108012,-6.59284883158567,0.17412075435556087
terminal_rule_baseline_buffer,45,5,flat,32,2.4073585800200585,0.08541434164896444,0.4270717082448222,32.65361697024775,-7.557083300577197,0.157394007533701
terminal_rule_baseline_buffer,45,5,flat,33,2.561695791007655,0.08292865064128317,0.41464325320641576,38.814945261879465,-8.663797834869847,0.14194750626523508
terminal_rule_baseline_buffer,45,5,flat,34,2.730171260825817,0.08045141173043929,0.4022570586521965,46.31314361040707,-9.935221137283314,0.12773466449832416
terminal_rule_baseline_buffer,45,5,flat,35,2.9139868531826885,0.07799000061283717,0.3899500030641858,55.46240341609614,-11.397310739722343,0.11470249348929877
terminal_rule_baseline_buffer,45,5,flat,36,3.11443561047864,0.07555125305662837,0.37775626528314177,66.6545987906523,-13.080464482793758,0.10279289857754288
terminal_rule_baseline_buffer,45,5,flat,37,3.3329092253515875,0.07314140217915868,0.3657070108957933,80.37919830970306,-15.02039401983778,0.09194399389685055
terminal_rule_baseline_buffer,45,5,flat,38,3.5709065725480826,0.07076603451267066,0.3538301725633533,97.24843142071379,-17.25920240553826,0.08209136122679213
