sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,branch_iters,warm_start_T,seed_kind,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,70,60,60,horizon,ok,0.932981014251709,true,2.4158467057301363e-7,9.884595212845702e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,80,60,70,horizon,ok,1.2119379043579102,true,2.8251985956059286e-7,9.884595212845702e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,90,60,80,horizon,ok,1.6086421012878418,true,3.41311155352089e-7,9.884595212845702e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,100,60,90,horizon,ok,1.9888041019439697,true,4.6374128492881667e-7,9.884595212845702e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,103,60,100,horizon,ok,1.8363430500030518,true,4.917945865340991e-7,9.884595212845702e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,104,60,103,horizon,ok,1.5590729713439941,true,5.522739860813439e-7,9.884595212845702e-10,true,
pi,0.9,pi_0p900_gamma_0p25,π = 0.9,0.9,0.25,105,60,104,horizon,ok,1.6061630249023438,true,5.930893348049056e-7,9.884595212845702e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,30,60,30,parameter,ok,0.3476080894470215,true,1.7118945190089718e-7,9.807374696999946e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,45,60,30,horizon,ok,0.6607661247253418,true,3.2517757585128764e-7,9.809550531405328e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,60,60,45,horizon,ok,0.8533940315246582,true,1.9669506219884158e-7,9.809553456138072e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,70,60,60,horizon,ok,0.9778628349304199,true,2.3824560275798256e-7,9.809553456138072e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,80,60,70,horizon,ok,1.2932000160217285,true,2.561804729244406e-7,9.809553456138072e-10,true,
