T_report,n_buffer,terminal_rule,status,tail_window,final_solved_t,final_e_W_over_e_US,max_tail_e_W_over_e_US,final_Q_W_over_Q_US,max_tail_Q_W_over_Q_US,final_omega_times_one_minus_theta,max_tail_abs_omega_times_one_minus_theta_minus_1,final_omega_star_S_star_over_beta_e_US,max_tail_omega_star_S_star_over_beta_e_US,max_tail_residual_norm
45,0,local_loglinear,ok,8,45,0.019469318930787616,0.043107216946917125,0.12757952827345706,0.22188010502654185,0.896644458379132,0.1587619954435383,0.007561321020025617,0.012626791207576113,0.00014723973566525166
45,5,local_loglinear,ok,8,50,0.010746288151702393,0.024559275026048464,0.08193222111521435,0.1505915007851694,0.9294437883644415,0.11833401460362958,0.0048044779629283045,0.008899476529839538,0.0006661579580699191
45,20,local_loglinear,ok,8,65,0.0015709062415026264,0.003813434985669751,0.01577545410426385,0.03366174499489058,0.9850989959440827,0.030924721598513227,0.0009223723583241447,0.0020644493007859577,0.0014378696489989364
