T_report,n_buffer,t,solved_terminal,periods_to_terminal,q_US,v_US,fundamental_share,bubble_share,baseline_bubble_share,bubble_share_error,log_q_error,phi_error
45,0,1,45,44,0.8815627579425622,0.8813048933335138,0.9997074914897152,0.0002925085102848261,0.00022495736641106096,6.755114387376512e-5,-1.4052786850848875e-8,5.291646676397477e-9
45,0,2,45,43,0.8882727165852939,0.887909229863992,0.9995907937793033,0.00040920622069679104,0.00031470519137635154,9.45010293204395e-5,-1.9805660431138072e-8,7.381846800491587e-9
45,0,3,45,42,0.8963421191591493,0.8958320828947158,0.9994309803661665,0.0005690196338335228,0.00043761166802819886,0.00013140796580532395,-2.7837592897483887e-8,1.0284771256863223e-8
45,0,4,45,41,0.9057822628148808,0.9050699988090799,0.9992136476556878,0.0007863523443122679,0.0006047540473907579,0.00018159829692151,-3.898342712527203e-8,1.4287658833822547e-8
45,0,5,45,40,0.9166209203800804,0.9156311746485741,0.998920223497522,0.00107977650247797,0.0008304154532932603,0.0002493610491847097,-5.436022258720197e-8,1.97697747061909e-8
45,0,6,45,39,0.9289025680775812,0.9275343170893928,0.9985270242163071,0.0014729757836928125,0.0011328100814767736,0.0003401657022160389,-7.545264373021165e-8,2.7227903154347644e-8
45,0,7,45,38,0.9426886929219691,0.9408072761308593,0.9980042013813933,0.001995798618606685,0.0015348931948891377,0.00046090542371754733,-1.0421990889741828e-7,3.7307232303440685e-8
45,0,8,45,37,0.9580582236934879,0.9554854553919095,0.9973146013071524,0.0026853986928475557,0.002065238232609844,0.0006201604602377115,-1.4322819014839228e-7,5.0838145471132634e-8
45,0,9,45,36,0.9751080939688389,0.9716099640714078,0.9964125721865427,0.003587427813457385,0.002758954189170595,0.0008284736242867899,-1.9581230928031323e-7,6.887919790088404e-8
45,0,10,45,35,0.9939538863488155,0.9892254159631303,0.9952427668419762,0.004757233158023816,0.003658606360315184,0.001098626797708632,-2.6627075242532244e-7,9.276633106125587e-8
45,0,11,45,34,1.014730517423606,1.0083772933395794,0.9937390036320604,0.006260996367939644,0.004815092357335914,0.0014459040106037293,-3.6009730146509267e-7,1.24167843562617e-7
45,0,12,45,33,1.0375929764106662,1.0291088515791031,0.9918232630477973,0.008176736952202715,0.006288413759394752,0.001888323192807963,-4.842514239045137e-7,1.6514394141076139e-7
45,0,13,45,32,1.0627171782561324,1.0514575947555382,0.9894049106093583,0.010595089390641762,0.008148273714923035,0.0024468156757187273,-6.474674734691099e-7,2.18208730640157e-7
45,0,14,45,31,1.0903009927940344,1.0754513601326656,0.9863802447585462,0.013619755241453776,0.010474424585079039,0.0031453306563747375,-8.605998991079167e-7,2.863913782791272e-7
45,0,15,45,30,1.1205655004555408,1.1011040446313394,0.9826324692164002,0.017367530783599806,0.013356689125614283,0.004010841657985523,-1.1369979148190268e-6,3.7329193713908637e-7
45,0,16,45,29,1.1537564917368877,1.1284109775756157,0.9780321806700162,0.021967819329983852,0.016894585320525807,0.005073234009458045,-1.4928987866202892e-6,4.831261378734908e-7
45,0,17,45,28,1.1901462066426716,1.1573439251200224,0.9724384438318865,0.02756155616811346,0.021196499454360355,0.006365056713753106,-1.9478239098869032e-6,6.20752406699232e-7
45,0,18,45,27,1.2300352996934216,1.187845700133952,0.9657004969125803,0.034299503087419636,0.026378374314519903,0.007921128772899733,-2.5249569476915035e-6,7.916737415625263e-7
45,0,19,45,26,1.2737550200579306,1.2198243509488929,0.957660092985082,0.04233990701491798,0.032561908303418305,0.009777998711499675,-3.2514785619774944e-6,1.0020069711735857e-6
45,0,20,45,25,1.3216695857215057,1.2531468835670854,0.9481544382236703,0.05184556177632974,0.03987229546202632,0.01197326631430342,-4.158828504630119e-6,1.2584126013459596e-6
45,0,21,45,24,1.3741787341164218,1.2876324641722068,0.9370196410441011,0.06298035895589887,0.04843557252193447,0.014544786433964403,-5.282863321576237e-6,1.5679799098000657e-6
45,0,22,45,23,1.431720439044731,1.323045042796851,0.924094541584955,0.07590545841504504,0.05837567339827065,0.017529785016774387,-6.66387706738103e-6,1.938064224327185e-6
45,0,23,45,22,1.4947737744051528,1.3590853145173525,0.9092247521255865,0.09077524787441348,0.06981132141616826,0.020963926458245213,-8.346453597207759e-6,2.3760763075975078e-6
45,0,24,45,21,1.5638619127151347,1.39538192742792,0.8922667123501304,0.1077332876498696,0.08285291009420301,0.02488037755566659,-1.037912222584536e-5,2.889227238234149e-6
45,0,25,45,20,1.6395552579852997,1.4314818458786602,0.873091552667568,0.12690844733243203,0.09759953154451406,0.029308915787917972,-1.2813793805244167e-5,3.484235820749859e-6
45,0,26,45,19,1.7224747080285732,1.4668397624801075,0.8515885636189992,0.1484114363810009,0.11413630784836742,0.03427512853263348,-1.570496190428372e-5,4.167009199362859e-6
45,0,27,45,18,1.8132950583943843,1.5008064642645058,0.8276680936821296,0.1723319063178705,0.13253216209876892,0.03979974421910157,-1.910866327559102e-5,4.942310508515568e-6
45,0,28,45,17,1.9127485618503455,1.5326160576277141,0.8012637354410552,0.19873626455894472,0.15283813684201614,0.04589812771692858,-2.3081203420538543e-5,5.81342994648848e-6
