T_report,n_buffer,terminal_rule,reference_rule,T0,status,max_u_residual,max_bgp_residual,max_log_q_US_error,t_max_log_q_US_error,max_log_d_over_q_US_error,t_max_log_d_over_q_US_error,max_log_phi_US_error,t_max_log_phi_US_error,max_log_Q_US_error,t_max_log_Q_US_error,max_log_minus_NFA_error,t_max_log_minus_NFA_error,max_log_cond_1b_error,t_max_log_cond_1b_error,log_cond_1b_start_t,domain_status,domain_message
45,5,local_loglinear,local_loglinear,30,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345337, ref=-0.0345337)"
45,5,local_loglinear,local_loglinear,40,ok,8.51231349644807e-6,7.02911799745702e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345337, ref=-0.0345337)"
45,5,asymptotic_hkt,local_loglinear,20,ok,2.215590732640295e-6,7.030120871881613e-10,0.0001682861280643544,20,9.021491195282394e-5,20,9.021491195293496e-5,20,0.0002102543369144616,20,,6,0.00016180904297069532,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345378, ref=-0.0345337)"
45,5,asymptotic_hkt,local_loglinear,30,ok,2.215590732640295e-6,7.030120871881613e-10,0.0013584823636650922,30,0.0007167354689148198,30,0.0007167354689148198,30,0.0017116876850078455,30,,6,0.0013532832469653755,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345378, ref=-0.0345337)"
45,5,asymptotic_hkt,local_loglinear,40,ok,2.215590732640295e-6,7.030120871881613e-10,0.0053883039825770584,40,0.002805031048237261,40,0.002805031048237261,40,0.006877004722817048,40,,6,0.005419990594589308,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345378, ref=-0.0345337)"
45,5,tail_regression,local_loglinear,20,ok,2.909712178303307e-8,7.02881470365105e-10,5.188423237539874e-5,20,2.7815224470817412e-5,20,2.7815224470484345e-5,20,6.480082220794436e-5,20,,6,4.982270628473007e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345324, ref=-0.0345337)"
45,5,tail_regression,local_loglinear,30,ok,2.909712178303307e-8,7.02881470365105e-10,0.0004198933317187681,30,0.00022154424222398106,30,0.00022154424222387004,30,0.0005289395134275843,30,,6,0.0004174996830106359,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345324, ref=-0.0345337)"
45,5,tail_regression,local_loglinear,40,ok,2.909712178303307e-8,7.02881470365105e-10,0.0016570991429198934,40,0.0008626679100394163,40,0.0008626679100394163,40,0.002115885371806847,40,,6,0.0016608501116310848,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345324, ref=-0.0345337)"
45,5,hkt_scalar_terminal_us,local_loglinear,20,ok,4.0478533524936726e-8,7.024300983612481e-10,0.0008109898677482463,20,0.000434765714570684,20,0.00043476571457079505,20,0.0010131477007226941,20,,6,0.0007793345019119213,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345139, ref=-0.0345337)"
45,5,hkt_scalar_terminal_us,local_loglinear,30,ok,4.0478533524936726e-8,7.024300983612481e-10,0.006519351338313273,30,0.003439817619221852,30,0.00343981761922163,30,0.00821632510408321,30,,6,0.006486149973769617,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345139, ref=-0.0345337)"
45,5,hkt_scalar_terminal_us,local_loglinear,40,ok,4.0478533524936726e-8,7.024300983612481e-10,0.025068245500559083,40,0.013050019379286848,40,0.013050019379286848,40,0.03209970738301404,40,,6,0.025095558903570847,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345139, ref=-0.0345337)"
45,20,flat,local_loglinear,20,ok,3.0175056261078443e-9,7.029958976656072e-10,0.00021360495955724534,20,0.00011451050938537932,20,0.00011451050938537932,20,0.0002668550987139362,20,,6,0.0002053233129089005,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345371, ref=-0.0345319)"
45,20,flat,local_loglinear,30,ok,3.0175056261078443e-9,7.029958976656072e-10,0.0017247582770485437,30,0.0009099929686136043,30,0.0009099929686132713,30,0.0021731218663583185,30,,6,0.0017173760179958197,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345371, ref=-0.0345319)"
45,20,flat,local_loglinear,40,ok,3.0175056261078443e-9,7.029958976656072e-10,0.006821643719167936,40,0.003551215238928318,40,0.003551215238928318,40,0.008708806951897685,40,,6,0.006854903335383966,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345371, ref=-0.0345319)"
45,20,local_loglinear,local_loglinear,20,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345319)"
45,20,local_loglinear,local_loglinear,30,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345319)"
45,20,local_loglinear,local_loglinear,40,ok,2.8097800995762663e-6,7.02868496974185e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345319, ref=-0.0345319)"
45,20,asymptotic_hkt,local_loglinear,20,ok,5.378154744426806e-6,7.028826049458827e-10,2.452531647367806e-5,20,1.3147942170110838e-5,20,1.3147942169999816e-5,20,3.063388017099378e-5,20,,6,2.3558297959302976e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345325, ref=-0.0345319)"
45,20,asymptotic_hkt,local_loglinear,30,ok,5.378154744426806e-6,7.028826049458827e-10,0.0001982110797809078,30,0.00010457986745970871,30,0.00010457986745959769,30,0.00024971289752828696,30,,6,0.0001971583957025569,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345325, ref=-0.0345319)"
45,20,asymptotic_hkt,local_loglinear,40,ok,5.378154744426806e-6,7.028826049458827e-10,0.0007800170310932053,40,0.000406066593668708,40,0.0004060665936682639,40,0.0009962915049994692,40,,6,0.000782117184226383,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345325, ref=-0.0345319)"
45,20,tail_regression,local_loglinear,20,ok,1.1288432570307434e-8,7.028543607586376e-10,2.3253749891816167e-5,20,1.2466331627880578e-5,20,1.24663316279916e-5,20,2.9044176016235213e-5,20,,6,2.2334276642443918e-5,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345313, ref=-0.0345319)"
45,20,tail_regression,local_loglinear,30,ok,1.1288432570307434e-8,7.028543607586376e-10,0.00018793858447174738,30,9.916038078738865e-5,30,9.916038078783274e-5,30,0.0002367688972269022,30,,6,0.00018690999256976149,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345313, ref=-0.0345319)"
45,20,tail_regression,local_loglinear,40,ok,1.1288432570307434e-8,7.028543607586376e-10,0.0007385561950481456,40,0.00038448329688822724,40,0.0003844832968884493,40,0.0009434687423155452,40,,6,0.0007402545911077141,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345313, ref=-0.0345319)"
45,20,hkt_scalar_terminal_us,local_loglinear,20,ok,4.316966162864224e-5,7.027079394783911e-10,0.0002681804848727598,20,0.0001437646995405828,20,0.00014376469954047177,20,0.0003351223585459362,20,,6,0.0002579997832905523,20,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345253, ref=-0.0345319)"
45,20,hkt_scalar_terminal_us,local_loglinear,30,ok,4.316966162864224e-5,7.027079394783911e-10,0.0021544383374160203,30,0.0011367040570005038,30,0.0011367040570007259,30,0.0027155063189088224,30,,6,0.0021470283955546954,30,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345253, ref=-0.0345319)"
45,20,hkt_scalar_terminal_us,local_loglinear,40,ok,4.316966162864224e-5,7.027079394783911e-10,0.008379129613445668,40,0.004361966455233901,40,0.004361966455233901,40,0.010716779053521641,40,,6,0.008420037241410938,40,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345253, ref=-0.0345319)"
