experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,minus_NFA,cond_1b
horizon_buffer,45,0,local_loglinear,1,0.8815627579425622,0.1306219897318516,0.6531099486592581,0.9427238280151186,0.102501770411626,0.0
horizon_buffer,45,0,local_loglinear,2,0.8882727165852939,0.1307116647229936,0.6535583236149679,1.0157162521245953,0.08157188851228603,1.072973245503516
horizon_buffer,45,0,local_loglinear,3,0.8963421191591493,0.13067181627216776,0.6533590813608388,1.096000863899908,0.05778465001279098,1.0394926786696315
horizon_buffer,45,0,local_loglinear,4,0.9057822628148808,0.13050783403800517,0.6525391701900258,1.184509400612824,0.030783096517467134,1.0057384278370494
horizon_buffer,45,0,local_loglinear,5,0.9166209203800804,0.13022416625093342,0.6511208312546669,1.2823224563220887,0.00016281499935644206,0.9716872397494339
horizon_buffer,45,0,local_loglinear,6,0.9289025680775812,0.12982439165425436,0.6491219582712717,1.3906975657820033,-0.03453380995508293,0.9372977892213105
horizon_buffer,45,0,local_loglinear,7,0.9426886929219691,0.12931130870500132,0.6465565435250066,1.5111029191516567,-0.07382441532902706,0.9025281255810523
horizon_buffer,45,0,local_loglinear,8,0.9580582236934879,0.1286870363840498,0.643435181920249,1.6452579949044064,-0.11829467249335224,0.8673556764682283
horizon_buffer,45,0,local_loglinear,9,0.9751080939688389,0.1279531243157931,0.6397656215789654,1.7951826556359558,-0.16860767757269923,0.8317933165762933
horizon_buffer,45,0,local_loglinear,10,0.9939538863488155,0.1271106743594559,0.6355533717972794,1.9632564947544566,-0.2255150521275271,0.7958964303403087
horizon_buffer,45,0,local_loglinear,11,1.014730517423606,0.1261604741862995,0.6308023709314975,2.1522906242427475,-0.28987015263069216,0.759759925903878
horizon_buffer,45,0,local_loglinear,12,1.0375929764106662,0.12510313876456147,0.6255156938228074,2.3656146993234004,-0.36264375486644207,0.7235083299812215
horizon_buffer,45,0,local_loglinear,13,1.0627171782561324,0.12393925240110172,0.6196962620055086,2.6071827687300018,-0.4449425070051851,0.687283639171487
horizon_buffer,45,0,local_loglinear,14,1.0903009927940344,0.12266950471841162,0.6133475235920581,2.8817024597989302,-0.5380304380947649,0.6512346242520591
horizon_buffer,45,0,local_loglinear,15,1.1205655004555408,0.12129481555539698,0.6064740777769849,3.1947931394947235,-0.6433538230824172,0.6155091041417795
horizon_buffer,45,0,local_loglinear,16,1.1537564917368877,0.11981644653733882,0.599082232686694,3.553180041055065,-0.7625697933057514,0.580249203554913
horizon_buffer,45,0,local_loglinear,17,1.1901462066426716,0.11823609846202135,0.5911804923101066,3.964933045549082,-0.8975791713296868,0.5455888193757727
horizon_buffer,45,0,local_loglinear,18,1.2300352996934216,0.11655599405940721,0.582779970297036,4.439760954730424,-1.0505640956766404,0.5116524267778862
horizon_buffer,45,0,local_loglinear,19,1.2737550200579306,0.114778945168035,0.573894725840175,4.989374834184571,-1.2240310523485824,0.4785545137738154
horizon_buffer,45,0,local_loglinear,20,1.3216695857215057,0.11290840371628756,0.5645420185814377,5.627937400402278,-1.4208600426513467,0.44639930849185094
horizon_buffer,45,0,local_loglinear,21,1.3741787341164218,0.11094849548876277,0.5547424774438139,6.372619743370779,-1.6443606979892342,0.41528056275224157
horizon_buffer,45,0,local_loglinear,22,1.431720439044731,0.1089040353350369,0.5445201766751845,7.244292141415947,-1.8983362196790203,0.38528127548645486
horizon_buffer,45,0,local_loglinear,23,1.4947737744051528,0.10678052316269106,0.5339026158134553,8.268382535916023,-2.1871561816463068,0.35647342108852376
