t,state,n,n_next,phi,G,e,D_agg,d_per,PD,Q_actual,V_rational,B_rational,bubble_share,Q_b_branch,crash_gap_Q,market_actual,V_agg,B_agg,crash_gap_market
0,u,1,1.061339312526815,0.6933034373659253,1.061339312526815,1.686458190185473,0.1101652644379895,0.1101652644379895,7.211849430599321,0.7944952996089383,0.7944952996089383,6.79616557226789e-25,8.554066431372291e-25,0.7944952996089383,0,0.8432290950927364,0.8432290950927364,7.21303769628921e-25,0
1,u,1.061339312526815,1.128471018324084,0.6837406048898589,1.063251879022028,1.713134650223437,0.1101657796343553,0.1037988307170822,7.312714740417428,0.7590512394229003,0.7590512394229003,1.053422494841531e-24,1.387814735198164e-24,0.7530477344333901,0.006003504989510189,0.8565673251117181,0.8565673251117181,1.188756755479319e-24,0.00677478138902628
2,u,1.128471018324084,1.202043674946177,0.6740161890406455,1.065196762191871,1.740958430258498,0.1101612592237348,0.09761992770300622,7.418219445317333,0.7241660459369129,0.7241660459369129,1.626173389322817e-24,2.245580828384329e-24,0.7126068016614008,0.01155924427551214,0.8704792151292491,0.8704792151292491,1.95473143700128e-24,0.01389471646853717
3,u,1.202043674946177,1.282788329702631,0.6641359359922223,1.067172812801556,1.769976529671961,0.1101513274248434,0.09163670981403858,7.528579209510739,0.6898942283339395,0.6898942283339395,2.499900733070208e-24,3.623600010551392e-24,0.6732294557468328,0.01666477258710675,0.8849882648359798,0.8849882648359798,3.206843485797515e-24,0.02137737579188886
4,u,1.282788329702631,1.371530060900788,0.6541061017497392,1.069178779650052,1.800237701125489,0.110135600080982,0.0858564094565103,7.644019810585712,0.6562880947513232,0.6562880947513232,3.826811784731149e-24,5.830993759198362e-24,0.6349679896664621,0.02132010508486115,0.9001188505627444,0.9001188505627444,5.248587400168166e-24,0.02924116502545081
5,u,1.371530060900788,1.469201257618306,0.6439334452014471,1.071213310959711,1.831792506656721,0.1101136858212567,0.08028528791336641,7.764777613679948,0.6233974062975568,0.6233974062975568,5.832805164297228e-24,9.356479679533899e-24,0.5978696868985198,0.02552771939903697,0.9158962533283608,0.9158962533283608,8.569564682828041e-24,0.03750535744519236
6,u,1.469201257618306,1.576856915734827,0.633625217926103,1.073274956414779,1.864693375472208,0.11008518733594,0.07492859590550373,7.891100067584634,0.5912690482139422,0.5912690482139422,8.851408470415637e-24,1.49701874250872e-23,0.5619765190328315,0.02929252918111069,0.9323466877361036,0.9323466877361036,1.395740466056872e-23,0.04619012721859862
7,u,1.576856915734827,1.695692274465543,0.6231891506930474,1.07536216986139,1.898994663542242,0.1100497027616341,0.06979054450882127,8.023246223782154,0.5599467226861006,0.5599467226861006,1.337246153400948e-23,2.388166765198824e-23,0.5273248936433205,0.0326218290427801,0.9494973317711206,0.9494973317711206,2.267557971380751e-23,0.05531658348677791
8,u,1.695692274465543,1.827063172245469,0.6126334366259587,1.077473312674808,1.934752715111777,0.1100068271703047,0.06487428693686606,8.161487279468771,0.5294706675998394,0.5294706675998394,2.011152428692747e-23,3.798420860233045e-23,0.4939454562924892,0.0355252113073502,0.9673763575558888,0.9673763575558888,3.674502536236549e-23,0.06490680526589786
9,u,1.827063172245469,1.972509564963714,0.6019667110374443,1.079606657792511,1.972025926251321,0.1099561541546387,0.06018191150966178,8.306107145664045,0.4998774052301229,0.4998774052301229,3.010821629384935e-23,6.023120064806443e-23,0.4618629496737118,0.03801445555641114,0.9860129631256599,0.9860129631256599,5.938874462361418e-23,0.07498387719190898
