phase,label,stage,status,valid,economic_classification,economic_pass,score,T,elapsed_sec,common_world_growth,beta,gamma,pi_persist,a_US,vartheta_US,a_W,H_W,L_W,nu_b,nu_u,xi_u,xi_W,omega_bar,omega_bar_star,kappa,chi,eta,max_u_residual,max_bgp_residual,psi_min,equity_weight_min,theta_US_star_min,theta_US_star_max,foreign_claim_min,accounting_residual_max,nfa_identity_error,late_start,late_nfa_move,late_periodnorm_nfa_sum,late_ratio_change,late_va_asset,late_va_liability,late_va_net,late_ca,late_residual,liability_dominance,liability_dominance_share,late_foreign_exposure,late_asset_exposure,ca_backtracking,late_ca_backtracking,moving_denominator_backtracking,ca_tv_excess,ca_flow_rms,ca_roughness,va_driver_share,ca_share,anchor_distance,whole_path_nfa_move,full_ratio_change,full_path_match,nfa_initial_current_Y,nfa_final_current_Y,Y_growth,q_US_growth,q_W_growth,check_model_residuals,check_psi_interior,check_equity_interior,check_theta_interior,check_positive_foreign_claims,check_positive_returns,check_accounting_exact,check_positive_output,check_finite_accounting,note,error
search,A_beta050_reference,beta,ok,true,liability_revaluation_near_miss,false,7.287383520355679,30,4.9692769050598145,false,0.5,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.6,0.4,1.0,0.0002,0.01,1.206999729220548e-9,5.0887288562714017e-11,0.89377578165283,0.2587106824865829,0.018343317500993876,0.04260509294868274,0.8136646916438462,2.3869795029440866e-15,5.355182963739935e-9,15,-0.04170089652572293,-0.134712873733897,0.1509347764984163,0.0098876817107849,-0.05372265945546832,-0.04383497774468343,0.0021340812189605102,-1.6386505942732142e-17,5.433291748951709,0.8445585807354458,0.39703485656791554,0.27716504881447285,0.014087250130672857,0.014087250130672822,0.07118043760764704,0.028174500261345714,0.00438261225107179,0.0039627329268888236,0.9535757035912282,0.04642429640877171,1.2094628716532578,-0.06414360671509832,0.1828850275436587,false,-0.25553993299221,-0.07265490544855131,30.023612258823725,2.0715396092733833,1.1206251213139946,true,true,true,true,true,true,true,true,true,Residual-safe high-payout mechanism reference.,
search,B_beta045_reference,beta,ok,true,liability_revaluation_near_miss,false,6.677157708198386,30,4.792277097702026,false,0.45,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.6,0.4,1.0,0.0002,0.01,1.2416478070367809e-9,2.5010792568946894e-10,0.8926915976960226,0.27214531595379254,0.02111829546228458,0.04740228213556371,0.739275381017622,1.1796119636642288e-15,4.4933212706155246e-9,15,-0.04511439578158908,-0.1264441418276898,0.1337255856744397,0.008821099352907933,-0.046490108959331235,-0.0376690096064233,-0.007445386175165791,1.40896020852278e-17,5.270330499565847,0.8405187732816892,0.3637077310575556,0.2455606209910446,0.006125897312746112,0.006125897312746126,0.056372729619834826,0.012251794625492224,0.0041724839513104395,0.003200695360588051,0.8349665102196889,0.16503348978031104,1.2186479296789265,-0.069254689896411,0.1578650436295897,false,-0.2378773652686914,-0.08001232163910171,22.11242873509936,1.916189155472639,1.111958724203234,true,true,true,true,true,true,true,true,true,Lower-beta robustness perturbation.,
search,C_beta050_lower_payout,payout_share,ok,true,near_miss,false,9.064848148411746,30,3.1976358890533447,false,0.5,0.25,0.8,0.2,0.7,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.6,0.4,1.0,0.0002,0.01,1.3178783254554424e-9,9.600578110280367e-10,0.9001821953320763,0.25918745966068635,0.019632095276569145,0.048898346814687674,0.8206521559562451,2.4980018054066022e-15,2.6812347897475775e-9,15,0.0006177001108586226,-0.04237144837579562,0.15397775789765883,0.011907874863611306,-0.04552911793959535,-0.03362124307598404,0.03423894318684268,-1.372009428891437e-17,3.8234461195696268,0.7926793468381844,0.33907953203638985,0.2703327519695952,0.052159042910669966,0.009790390699563185,0.06147356569319868,0.10431808582133993,0.00503193608271719,0.004164390298945092,0.495448729624273,0.504551270375727,1.2203584638003864,-0.014205706278579762,0.25233958639874765,false,-0.27364335336474066,-0.021303766965993034,38.55184752787227,2.0055164810025734,1.1793132021755441,true,true,true,true,true,true,true,true,true,One-at-a-time lower U.S. payout-share perturbation.,
search,D_home_weight_floor,gross_positions,ok,true,liability_revaluation_near_miss,false,6.243044326926508,30,3.222040891647339,false,0.45,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.5,0.4,1.0,0.0002,0.01,1.161079098565267e-9,1.7579318609821703e-10,0.8767387651740913,0.14632470747401585,0.12230104299434655,0.15739623653815896,0.6732464485416368,1.0547118733938987e-15,1.8581591820776566e-9,15,-0.04375672382316789,-0.12396388678707392,0.132105006168057,0.013166311803949914,-0.046923692589838764,-0.033757380785888864,-0.009999343037279028,-9.691575894566823e-18,3.563920807022175,0.780890150753411,0.3706681856145231,0.3861968596983823,0.004916553296674786,0.004916553296674793,0.05320481481372156,0.009833106593349572,0.0043938995229997665,0.0032001360670441733,0.7714787085594221,0.2285212914405779,1.2187476294930308,-0.06918767479788505,0.12230544927966006,false,-0.20122159052625146,-0.07891614124659141,20.683793441360816,1.9734955674831083,1.0893785114975199,true,true,true,true,true,true,true,true,true,Raises U.S.-held foreign equity at the model's omega_bar floor.,
search,E_foreign_target030,gross_positions,ok,true,partial_ahp_pattern,true,3.4700437350085998,30,6.219444990158081,false,0.45,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.5,0.3,1.0,0.0002,0.01,1.2303568151133486e-9,6.693818197862701e-10,0.8787659402704201,0.1813627169178048,0.022812014565376064,0.0718277088582212,0.5367235249476136,1.6653345369377348e-15,1.0848458131818006e-8,15,-0.062031679157616114,-0.15514856285675002,0.09085231242088065,0.005869253413674698,-0.059124934694468896,-0.0532556812807942,-0.008775997876821887,-3.272859144753986e-17,10.073672156788199,0.9096957191940166,0.4050111043415296,0.3047491483310825,0.0044823908175705765,0.0044823908175705765,0.03649851127316997,0.008964781635141153,0.00358390738549823,0.0026003569688793538,0.8585239349313278,0.14147606506867214,1.2019354919231051,-0.09026303130657663,-0.005926944897441236,false,-0.09022277962035131,-0.09614972451779255,15.326563893027354,2.2192038554146354,1.014524525089241,true,true,true,true,true,true,true,true,true,Rebalances initial NFA while retaining large foreign U.S.-equity claims.,
search,F_foreign_target025,gross_positions,ok,true,partial_ahp_pattern,true,2.5732015487889255,30,4.656659126281738,false,0.45,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.5,0.25,1.0,0.0002,0.01,1.3049825192804962e-9,6.429869127458341e-10,0.8775271531410154,0.13628836903774327,0.015295485295658514,0.05600531138548787,0.4458861879624544,6.38378239159465e-16,7.1279915303534835e-9,15,-0.07146955315620962,-0.16670770255792697,0.06250729918150723,0.0038884133439993757,-0.06446504387029822,-0.06057663052629884,-0.010892922629910774,-1.1046362262567006e-17,16.578752865813787,0.9431131430293472,0.4036651258776192,0.29922619134531886,0.002720769624643349,0.002720769624643342,0.02844961899175083,0.005441539249286698,0.003272758563594952,0.0021549155716648386,0.8475865295239454,0.1524134704760547,1.1948106577396618,-0.1016721303717611,-0.07054814946084524,true,-0.03389097934793425,-0.1044391288087795,12.248282794280795,2.337113432597029,0.9829015330425174,true,true,true,true,true,true,true,true,true,Strongest known full-path NFA/Y deterioration with liability-led VA.,
search,G_foreign_target025_beta050,beta,ok,true,partial_ahp_pattern,true,2.9552852611925937,30,4.64498496055603,false,0.5,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.5,0.25,1.0,0.0002,0.01,1.725020749336436e-9,9.043287448815458e-10,0.8768227717130002,0.12397718942711176,0.01332422170016097,0.04996001741625991,0.4900648644789809,6.661338147750939e-16,7.762971065972124e-8,15,-0.05670619668831541,-0.15037234532387445,0.0737998880148314,0.004435871752734285,-0.06999957888815311,-0.06556370713541883,0.008857510447103405,5.677619033065902e-18,15.780343253838474,0.9404064633915488,0.4259182371135704,0.335324906734034,0.016637543032258787,0.016637543032258794,0.03500160335010724,0.033275086064517574,0.0027426632205081922,0.002737533745843345,0.8809813822612923,0.11901861773870769,1.1877780436939054,-0.08164689801280378,-0.053858933225985305,true,-0.029590161391381105,-0.08344909461736641,16.41894192701695,2.464781435146784,0.9890488270821981,true,true,true,true,true,true,true,true,true,Beta robustness check around the best gross-position target.,
final_compare,F_foreign_target025,gross_positions,ok,true,partial_ahp_pattern,true,4.048911077622911,35,7.828716993331909,false,0.45,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.5,0.25,1.0,0.0002,0.01,1.2051114400371162e-9,6.429870930980286e-10,0.8712419337299897,0.13100361405144523,0.014435269069694076,0.05600531138013762,0.4458861879595162,1.6930901125533637e-15,1.511070202298015e-8,17,-0.038540578912412214,-0.14262827979706535,0.10910272684934307,0.00529191873780429,-0.05672879630045581,-0.05143687756265152,0.012896298650239276,3.0443396553134834e-17,10.719891803174887,0.9146749802136311,0.38598260100312437,0.29955567089948176,0.023812570599384734,0.02381257059938473,0.04849129515426183,0.04762514119876947,0.003384430854529213,0.0033693899595270845,0.7995389096356295,0.20046109036437057,1.2049408171574183,-0.0582192849485516,-0.02578678296491807,false,-0.03389097934206335,-0.05967776230698142,23.237233780954963,2.592230616200338,0.9983878837269695,true,true,true,true,true,true,true,true,true,Strongest known full-path NFA/Y deterioration with liability-led VA.,
final_compare,G_foreign_target025_beta050,beta,ok,true,partial_ahp_pattern,true,4.748415576905013,35,7.94028115272522,false,0.5,0.25,0.8,0.2,0.8,0.1,3.0,3.0,0.1,1.4,1.9,1.0,0.5,0.25,1.0,0.0002,0.01,1.301439380000014e-9,9.043289628037309e-10,0.8706185695271593,0.11850157819703752,0.012594455752281774,0.049960017382676955,0.49006486445239883,1.582067810090848e-15,1.0056931998292384e-7,17,-0.018412008856445932,-0.1121405262144236,0.12285318814883081,0.005943909658754238,-0.06152141305990043,-0.05557750340114621,0.03716549454470025,8.76395951360555e-18,10.350327745861884,0.9118968172205792,0.4059109478100744,0.33618741690433496,0.056757006381604067,0.011997172241783441,0.03500160355649233,0.11351401276320813,0.004830813723070692,0.004141653769011282,0.5992636062250053,0.4007363937749947,1.1988625720803656,-0.033988979786468886,-0.005301045405757578,false,-0.029590161346027558,-0.034891206751785135,32.79680444449542,2.7684255079524,1.005404420371578,true,true,true,true,true,true,true,true,true,Beta robustness check around the best gross-position target.,
